o:id,o:resource_class,schema:sameAs,jdc:valeurUtilite,jdc:hasRencontre,dcterms:title,foaf:firstName,foaf:lastName,foaf:givenName,foaf:homepage,schema:relatedLink
61306,foaf:Person,,40,,Stéphane Mallarmé,Stéphane,Mallarmé,Stéphane Mallarmé,,
61285,foaf:Person,,,,Thomas W. Malone,Thomas W.,Malone,Thomas W. Malone,,
62721,foaf:Person,,,,Muriel Mambrini-Doudet,Muriel,Mambrini-Doudet,Muriel Mambrini-Doudet,,
61794,foaf:Person,,,,Jean-Marc Manach,Jean-Marc,Manach,Jean-Marc Manach,,
61893,foaf:Person,,,,Giovanna Mancuso,Giovanna,Mancuso,Giovanna Mancuso,,
62701,foaf:Person,,,,Stefano Mancuso,Stefano,Mancuso,Stefano Mancuso,,
61702,foaf:Person,,30,,Benoît B. Mandelbrot,Benoît B.,Mandelbrot,Benoît B. Mandelbrot,,
62689,foaf:Person,,,,Lisa Mandle,Lisa,Mandle,Lisa Mandle,,
62282,foaf:Person,,,,Nadine Mandran,Nadine,Mandran,Nadine Mandran,,
61977,foaf:Person,,,,Olivier Mannoni,Olivier,Mannoni,Olivier Mannoni,,
541202,foaf:Person,,20,,Lev Manovich,Lev,Manovich,Lev Manovich,,
62073,foaf:Person,,,,Baya Mansouri,Baya,Mansouri,Baya Mansouri,,
299928,foaf:Person,,,,Dan Mapes,Dan,Mapes,Dan Mapes,,
62433,foaf:Person,,,,Cathie Marache-Francisco,Cathie,Marache-Francisco,Cathie Marache-Francisco,,
61603,foaf:Person,,,,Nicole Marchand-Zanartu,Nicole,Marchand-Zanartu,Nicole Marchand-Zanartu,,
62642,foaf:Person,,,,Michael Marder,Michael,Marder,Michael Marder,,
61854,foaf:Person,,,,Iza Marfisi-Schottman,Iza,Marfisi-Schottman,Iza Marfisi-Schottman,,
61180,foaf:Person,,,,Joseph Mariani,Joseph,Mariani,Joseph Mariani,,
299939,foaf:Person,,,,Marie Lechner,,Marie Lechner,Marie Lechner,,
62230,foaf:Person,,,,Nicolas Marilleau,Nicolas,Marilleau,Nicolas Marilleau,,
62046,foaf:Person,,,,Jean-Bernard Marino,Jean-Bernard,Marino,Jean-Bernard Marino,,
61877,foaf:Person,,,,Dominic Marion,Dominic,Marion,Dominic Marion,,
61366,foaf:Person,,,,Pierre Mariot,Pierre,Mariot,Pierre Mariot,,
62434,foaf:Person,,,,Pierre Marquis,Pierre,Marquis,Pierre Marquis,,
61934,foaf:Person,,,,Bernard Marr,Bernard,Marr,Bernard Marr,,
62741,foaf:Person,,,,Brice Martin,Brice,Martin,Brice Martin,,
62256,foaf:Person,,,,Philippe Martin,Philippe,Martin,Philippe Martin,,
541216,foaf:Person,,,,Thierry Martin,Thierry,Martin,Thierry Martin,,
62060,foaf:Person,,,,Ruth Martinez,Ruth,Martinez,Ruth Martinez,,
61905,foaf:Person,,,,Denis Martouzet,Denis,Martouzet,Denis Martouzet,,
62649,foaf:Person,,,,Danilo Martuccelli,Danilo,Martuccelli,Danilo Martuccelli,,
62469,foaf:Person,,,,Slaven Marusic,Slaven,Marusic,Slaven Marusic,,
62608,foaf:Person,,,,Myriam Marzouki,Myriam,Marzouki,Myriam Marzouki,,
61163,foaf:Person,,,,André Masson,André,Masson,André Masson,,
61151,foaf:Person,,20,40,Luc Massou,Luc,Massou,Luc Massou,,
541221,foaf:Person,,20,,Anthony Masure,Anthony,Masure,Anthony Masure,,
62301,foaf:Person,,,,Friedemann Mattern,Friedemann,Mattern,Friedemann Mattern,,
61510,foaf:Person,,40,,Humberto R. Maturana,Humberto R.,Maturana,Humberto R. Maturana,,
62425,foaf:Person,,,,Nolwenn Maudet,Nolwenn,Maudet,Nolwenn Maudet,,
61041,foaf:Person,,,,Serge Mauger,Serge,Mauger,Serge Mauger,,
61394,foaf:Person,,,,Olivier Maurice,Olivier,Maurice,Olivier Maurice,,
61304,foaf:Person,,,,Anne Mayere,Anne,Mayere,Anne Mayere,,
61333,foaf:Person,,,,Matthew S. Mayernik,Matthew S.,Mayernik,Matthew S. Mayernik,,
61468,foaf:Person,,,,Riccardo Mazza,Riccardo,Mazza,Riccardo Mazza,,
61665,foaf:Person,,,,Alex McLean,Alex,McLean,Alex McLean,,
62523,foaf:Person,,,,John E. McPeck,John E.,McPeck,John E. McPeck,,
62672,foaf:Person,,,,Dominique Méda,Dominique,Méda,Dominique Méda,,
