o:id,dcterms:title,skos:prefLabel,skos:altLabel,jdc:hasActant,jdc:hasConcept,jdc:hasCrible,action
80268,catégorisation,catégorisation,,,,,
80278,catégorie,catégorie,,,,,
80297,utilité,utilité,,,,,
80301,perspective,perspective,,,,,
80314,scientifique,scientifique,,,,,
80342,philosophe,philosophe,,,,,
80346,controverse,controverse,,,,,
80353,couplage,couplage,,,,,
80357,référence,référence,,,,,
80373,service,service,,,,,
80377,crible,crible,,,,,
80396,tube,tube,,,,,
80400,évènement,évènement,,,,,
80404,linéaire,linéaire,,,,,
80411,hasard,hasard,,,,,
80418,pierre_boulez,pierre_boulez,,,,,
80422,symbolisme,symbolisme,,John Cage,,,
80432,john_cage,john_cage,,,,,
80442,égo,égo,,,,,
80446,champignon,champignon,,,,,
80450,réponse,réponse,,,,,
80454,typologie,typologie,,,,,
80473,stratégie,stratégie,,,,,
80480,sphère,sphère,,,,,
80493,michel_foucault,michel_foucault,,,,,
80497,légitimation,légitimation,,,,,
80504,validation,validation,,,,,
80508,automatisation,automatisation,,,,,
80512,illumination,illumination,,,,,
80519,utilisation,utilisation,,,,,
80526,mécanisme,mécanisme,,,,,
80533,religion,religion,,,,,
80537,poésie,poésie,,,,,
80547,énergie,énergie,,,,,
80554,absurde,absurde,,,,,
80561,Quintilien,Quintilien,,,,,
80565,conte,conte,,,,,
80569,voile,voile,,,,,
80576,transformation,transformation,,,,,
80586,nature,nature,,,,,
80614,archétype,archétype,,,,,
80618,monade,monade,,,,,
80649,globalité,globalité,,,,,
80656,détail,détail,,,,,
80660,synchronisation,synchronisation,,,,,
80664,médecin,médecin,,,,,
80671,macrocosme,macrocosme,,,,,
80675,microcosme,microcosme,,,,,
80679,psychopouvoir,psychopouvoir,,,,,
80686,ingénieur,ingénieur,,,,,
80690,inconscient,inconscient,,,,,
80694,langue,langue,,,,,
80716,paix,paix,,,,,
80720,logosphère,logosphère,,,,,
80724,divin,divin,,,,,
80740,maladie,maladie,,,,,
80744,main,main,,,,,
80748,santé,santé,,,,,
80752,bois,bois,,,,,
80756,racine,racine,,,,,
80769,synthèse,synthèse,,,,,
80773,biopouvoir,biopouvoir,,,,,
80777,ordre,ordre,,,,,
80787,premier,premier,,,,,
80806,variable,variable,,,,,
80810,processus,processus,,,,,
80835,problème,problème,,,,,
80848,algébrique,algébrique,,,,,
80852,Chomsky,Chomsky,,,,,
80856,rationnel,rationnel,,,,,
80860,mental,mental,,,,,
80867,disposition,disposition,,,,,
80871,besoin,besoin,,,,,
80875,parfaite,parfaite,,,,,
80879,dialectique,dialectique,,,,,
80883,naturelle,naturelle,,,,,
80893,conjonction,conjonction,,,,,
80897,disjonction,disjonction,,,,,
80901,exploration,exploration,,,,,
80908,cosmos,cosmos,,,,,
80912,chôra,chôra,,,,,
80916,locale,locale,,,,,
80935,essence,essence,,,,,
80948,niveau,niveau,,,,,
80958,Bateson,Bateson,,,,,
80962,causalité,causalité,,,,,
80966,être,être,,,,,
80976,ontologique,ontologique,,,,,
80980,juridique,juridique,,,,,
80984,avoir,avoir,,,,,
80991,anecdote,anecdote,,,,,
80995,thèmatique,thèmatique,,,,,
80999,biologie,biologie,,,,,
81009,certitude,certitude,,,,,
81013,fragment,fragment,,,,,
81023,Voltaire,Voltaire,,,,,
81027,énaction,énaction,,,,,
81037,animal,animal,,,,,
81050,interne,interne,,,,,
81054,autonomie,autonomie,,,,,
81070,scenario,scenario,,,,,
81074,paradigme,paradigme,,,,,
81078,fond,fond,,,,,
81082,instant,instant,,,,,
81095,lieu,lieu,,,,,
81105,proverbe,proverbe,,,,,
81118,climat,climat,,,,,
81122,sagesse,sagesse,,,,,
81132,pensée,pensée,,,,,
81169,espace,espace,,,,,
81206,image,image,,,,,
81216,liebniz,liebniz,,,,,
81226,intuition,intuition,,,,,
81248,texte,texte,,,,,
81252,individuation,individuation,,,,,
81259,règles,règles,,,,,
81263,naïf,naïf,,,,,
81267,structure,structure,,,,,
81280,hexagone,hexagone,,,,,
81287,gilbert_simondon,gilbert_simondon,,,,,
81291,adéquat,adéquat,,,,,
81298,magie,magie,,,,,
81302,ésotérisme,ésotérisme,,,,,
81306,point de vu,point de vu,,,,,
81343,paul_otlet,paul_otlet,,,,,
81347,mémoire,mémoire,,,,,
81357,graine,graine,,,,,
81379,trou noir,trou noir,,,,,
81383,accélarateur,accélarateur,,,,,
81387,Folksonomie,Folksonomie,,,,,
81394,réseau,réseau,,,,,
81404,Yi jing,Yi jing,,,,,
81432,encyclopédie,encyclopédie,,,,,
81436,syntaxe,syntaxe,,,,,
81446,Descartes,Descartes,,,,,
